Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides QC_Shew_16_01	Razor + unique peptides QC_Shew_16_01	Unique peptides QC_Shew_16_01	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage QC_Shew_16_01 [%]	Intensity	Intensity QC_Shew_16_01	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
SO_0231	SO_0231	4	4	4	SO_0231	1	4	4	4	4	4	4	13.7	13.7	13.7	22.531	212	212	0	29.734	13.7	36683000	36683000	11				47	40;258;284;475	True;True;True;True	40;267;297;500	55;56;373;414;797;798	101;102;103;681;682;683;750;751;752;1483;1484	102;682;751;1483			-1
SO_0232	SO_0232	5	5	5	SO_0232	1	5	5	5	5	5	5	38.8	38.8	38.8	21.981	201	201	0	39.19	38.8	26375000	26375000	28				48	13;25;89;146;262	True;True;True;True;True	13;25;92;150;271	16;17;18;19;20;21;35;36;121;122;201;378	24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;64;65;66;67;204;205;317;690	30;64;204;317;690			-1
SO_0234	SO_0234	9	9	9	SO_0234	1	9	9	9	9	9	9	31.8	31.8	31.8	29.963	274	274	0	62.869	31.8	128110000	128110000	58				49	130;280;290;387;888;922;989;1086;1164	True;True;True;True;True;True;True;True;True	134;291;305;406;931;965;1033;1138;1219	179;407;423;424;425;614;1423;1424;1484;1573;1574;1739;1839;1840;1841;1842;1843;1844;1845;1846;1847;1848	288;735;736;737;738;762;763;764;765;766;767;768;769;770;771;772;773;774;775;1199;2694;2695;2696;2827;2828;2967;2968;2969;2970;2971;2972;2973;3240;3391;3392;3393;3394;3395;3396;3397;3398;3399;3400;3401;3402;3403;3404;3405;3406;3407;3408;3409;3410;3411;3412;3413;3414;3415;3416;3417	288;736;769;1199;2695;2827;2967;3240;3411			-1
SO_0235	SO_0235	4	4	4	SO_0235	1	4	4	4	4	4	4	48.9	48.9	48.9	10.472	92	92	0	26.743	48.9	6915900	6915900	34				50	88;531;693;944	True;True;True;True	91;558;728;987	120;885;886;887;888;889;890;891;892;1128;1515;1516;1517;1518	203;1627;1628;1629;1630;1631;1632;1633;1634;1635;1636;1637;1638;1639;1640;1641;1642;1643;1644;1645;1646;1647;1648;1649;1650;1651;1652;2091;2875;2876;2877;2878;2879;2880	203;1641;2091;2877			-1
SO_0236	SO_0236	2	2	2	SO_0236	1	2	2	2	2	2	2	17.3	17.3	17.3	12.071	110	110	0	16.867	17.3	10180000	10180000	23				51	490;1071	True;True	516;1121	825;1720;1721	1522;1523;1524;1525;1526;1527;1528;1529;1530;1531;1532;1533;1534;3208;3209;3210;3211;3212;3213;3214;3215;3216;3217	1524;3210			-1
SO_0237	SO_0237	7	7	7	SO_0237	1	7	7	7	7	7	7	29.6	29.6	29.6	25.754	230	230	0	74.473	29.6	27294000	27294000	41				52	156;667;697;698;988;1298;1313	True;True;True;True;True;True;True	160;702;732;733;1032;1357;1372	216;217;218;219;220;221;222;223;224;1093;1094;1095;1096;1097;1098;1132;1133;1134;1572;2051;2080	338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2095;2096;2097;2098;2099;2966;3778;3779;3780;3781;3822	339;2046;2095;2098;2966;3778;3822	6	142	-1
SO_0239	SO_0239	2	2	2	SO_0239	1	2	2	2	2	2	2	36.5	36.5	36.5	7.1703	63	63	0	20.324	36.5	3505900	3505900	6				53	857;1276	True;True	899;900;1334	1386;1387;2017	2628;2629;2630;2631;2632;3715	2628;3715	7	30	-1
SO_0241	SO_0241	3	3	3	SO_0241	1	3	3	3	3	3	3	25.4	25.4	25.4	13.456	122	122	0	22.568	25.4	7523700	7523700	9				54	51;1043;1283	True;True;True	51;1092;1342	72;73;74;1678;2026;2027	132;133;134;135;136;137;3133;3727;3728	133;3133;3728			-1
SO_0242	SO_0242	1	1	1	SO_0242	1	1	1	1	1	1	1	14.4	14.4	14.4	11.318	104	104	0	6.5807	14.4	477490	477490	2				55	1052	True	1102	1692	3160;3161	3160			-1
SO_0243	SO_0243	4	4	4	SO_0243	1	4	4	4	4	4	4	24.6	24.6	24.6	20.231	179	179	0	35.581	24.6	20350000	20350000	11				56	53;186;629;661	True;True;True;True	53;193;662;694	76;77;265;1038;1080;1081	139;140;141;425;1908;1909;1910;1911;1912;2024;2025	141;425;1909;2025			-1
SO_0244	SO_0244	1	1	1	SO_0244	1	1	1	1	1	1	1	6.9	6.9	6.9	11.362	101	101	0	6.7402	6.9	49328000	49328000	2				57	982	True	1026	1565	2955;2956	2955			-1
SO_0245	SO_0245	5	5	5	SO_0245	1	5	5	5	5	5	5	36.2	36.2	36.2	14.039	130	130	0	39.188	36.2	29052000	29052000	15				58	468;485;734;1291;1311	True;True;True;True;True	493;511;769;1350;1370	784;785;810;811;812;1180;2035;2078	1446;1447;1448;1499;1500;1501;1502;1503;1504;1505;2158;2159;3737;3818;3819	1446;1503;2159;3737;3819			-1
SO_0246	SO_0246	2	2	2	SO_0246	1	2	2	2	2	2	2	11.3	11.3	11.3	18.923	177	177	0	16.232	11.3	27881000	27881000	44				59	355;730	True;True	373;765	561;562;563;564;565;566;567;568;569;1174;1175	1067;1068;1069;1070;1071;1072;1073;1074;1075;1076;1077;1078;1079;1080;1081;1082;1083;1084;1085;1086;1087;1088;1089;1090;1091;1092;1093;1094;1095;1096;1097;1098;1099;1100;1101;1102;1103;1104;1105;1106;1107;2146;2147;2148	1068;2146			-1
SO_0248	SO_0248	3	3	3	SO_0248	1	3	3	3	3	3	3	28.1	28.1	28.1	17.74	167	167	0	41.349	28.1	741050	741050	5				60	52;413;903	True;True;True	52;433;946	75;697;1454;1455	138;1322;2770;2771;2772	138;1322;2771			-1
SO_0249	SO_0249	2	2	2	SO_0249	1	2	2	2	2	2	2	30	30	30	6.6828	60	60	0	11.885	30	13866000	13866000	6				61	118;1103	True;True	121;1157	161;1766	266;3276;3277;3278;3279;3280	266;3277			-1
SO_0250	SO_0250	3	3	3	SO_0250	1	3	3	3	3	3	3	24.3	24.3	24.3	15.08	144	144	0	18.233	24.3	1104200	1104200	4				62	4;478;978	True;True;True	4;503;1022	4;802;1561	5;1488;2947;2948	5;1488;2947			-1
SO_0251	SO_0251	2	2	2	SO_0251	1	2	2	2	2	2	2	2	2	2	48.626	446	446	0	13.75	2	645950	645950	2				63	481;1018	True;True	507;1063	806;1621	1495;3058	1495;3058			-1
SO_0253	SO_0253	2	2	2	SO_0253	1	2	2	2	2	2	2	18.6	18.6	18.6	13.321	118	118	0	13.236	18.6	795060	795060	3				64	392;1127	True;True	411;1181	620;621;1794	1212;1213;3326	1213;3326			-1
SO_0254	SO_0254	1	1	1	SO_0254	1	1	1	1	1	1	1	8.5	8.5	8.5	13.892	130	130	0	11.148	8.5	200650	200650	2				65	22	True	22	31	56;57	56			-1
SO_0255	SO_0255	2	2	2	SO_0255	1	2	2	2	2	2	2	12.1	12.1	12.1	23.436	206	206	0	13.697	12.1	1214700	1214700	2				66	5;725	True;True	5;760	5;1166	6;2137	6;2137			-1
SO_0256	SO_0256	5	5	5	SO_0256	1	5	5	5	5	5	5	18.5	18.5	18.5	36.16	329	329	0	53.998	18.5	60209000	60209000	36				67	256;301;404;1094;1210	True;True;True;True;True	265;316;424;1146;1267	368;369;370;440;441;442;443;444;445;446;447;448;449;450;638;1749;1750;1751;1913	654;655;656;657;658;659;660;661;662;663;664;665;666;804;805;806;807;808;809;810;811;812;813;814;1237;3250;3251;3252;3530;3531;3532;3533;3534;3535;3536;3537	663;806;1237;3250;3534			-1
SO_0272	SO_0272	2	2	2	SO_0272	1	2	2	2	2	2	2	7.8	7.8	7.8	46.182	424	424	0	22.29	7.8	2003400	2003400	2				68	125;159	True;True	129;163	172;227	278;279;359	279;359			-1
SO_0274	SO_0274	11	11	11	SO_0274	1	11	11	11	11	11	11	16.6	16.6	16.6	100.28	889	889	0	98.341	16.6	32414000	32414000	32				69	17;43;200;397;767;780;800;953;1135;1186;1342	True;True;True;True;True;True;True;True;True;True;True	17;43;207;417;804;817;838;996;1190;1243;1401	26;60;294;628;1243;1260;1261;1284;1529;1530;1804;1882;2121;2122	48;49;108;531;1224;2261;2279;2280;2281;2282;2283;2284;2285;2286;2287;2288;2289;2290;2324;2891;2892;3339;3474;3475;3476;3477;3478;3479;3480;3481;3482;3907;3908	48;108;531;1224;2261;2283;2324;2892;3339;3475;3907			-1
SO_0275	SO_0275	2	2	2	SO_0275	1	2	2	2	2	2	2	6.7	6.7	6.7	35.069	326	326	0	17.352	6.7	841530	841530	2				70	898;899	True;True	941;942	1447;1448	2757;2758	2757;2758			-1
SO_0277	SO_0277	1	1	1	SO_0277	1	1	1	1	1	1	1	4.3	4.3	4.3	32.926	301	301	0	8.5022	4.3	298250	298250	1				71	828	True	866	1322	2380	2380			-1
SO_0278	SO_0278	1	1	1	SO_0278	1	1	1	1	1	1	1	1.7	1.7	1.7	44.538	407	407	0	7.242	1.7	6004400	6004400	4				72	269	True	278	388	709;710;711;712	712			-1
SO_0279	SO_0279	1	1	1	SO_0279	1	1	1	1	1	1	1	2.9	2.9	2.9	49.055	455	455	0	15.835	2.9	1855100	1855100	1				73	1330	True	1389	2099	3852	3852			-1
SO_0281	SO_0281	1	1	1	SO_0281	1	1	1	1	1	1	1	5.3	5.3	5.3	39.416	359	359	0	13.429	5.3	275660	275660	2				74	919	True	962	1480	2822;2823	2822			-1
SO_0285	SO_0285	1	1	1	SO_0285	1	1	1	1	1	1	1	1.3	1.3	1.3	74.856	684	684	0	6.1972	1.3	375120	375120	1				75	736	True	771	1182	2161	2161			-1
SO_0287	SO_0287	1	1	1	SO_0287	1	1	1	1	1	1	1	2.2	2.2	2.2	39.318	359	359	0	8.1022	2.2	1055700	1055700	1				76	656	True	689	1075	2011	2011			-1
SO_0289	SO_0289	1	1	1	SO_0289	1	1	1	1	1	1	1	4.3	4.3	4.3	32.225	279	279	0	5.8368	4.3	689980	689980	1				77	523	True	549	875	1612	1612			-1
SO_0292	SO_0292	1	1	1	SO_0292	1	1	1	1	1	1	1	7.6	7.6	7.6	24.398	225	225	0	5.8848	7.6	111720	111720	1				78	861	True	904	1392	2640	2640			-1
SO_0294	SO_0294	1	1	1	SO_0294	1	1	1	1	1	1	1	7.5	7.5	7.5	36.769	332	332	0	13.578	7.5	811670	811670	1				79	1193	True	1250	1890	3500	3500			-1
SO_0316	SO_0316	1	1	1	SO_0316	1	1	1	1	1	1	1	3.8	3.8	3.8	19.43	182	182	0	7.3711	3.8	1786100	1786100	2				80	796	True	834	1280	2318;2319	2318			-1
SO_0322	SO_0322	1	1	1	SO_0322	1	1	1	1	1	1	1	8.8	8.8	8.8	19.945	193	193	0	7.382	8.8	1807600	1807600	2				81	512	True	538	849	1567;1568	1567			-1
SO_0332	SO_0332	1	1	1	SO_0332	1	1	1	1	1	1	1	2.9	2.9	2.9	39.744	345	345	0	6.8165	2.9	510970	510970	1				82	866	True	909	1397	2648	2648			-1
SO_0333	SO_0333	1	1	1	SO_0333	1	1	1	1	1	1	1	4.5	4.5	4.5	22.304	202	202	0	6.0457	4.5	0	0	1				83	1383	True	1444	2188	4005	4005			-1
SO_0340	SO_0340	1	1	1	SO_0340	1	1	1	1	1	1	1	7.4	7.4	7.4	40.1	363	363	0	7.5512	7.4	5434400	5434400	3				84	479	True	504	803	1489;1490;1491	1489			-1
SO_0342	SO_0342	1	1	1	SO_0342	1	1	1	1	1	1	1	2.3	2.3	2.3	41.659	397	397	0.0053619	5.6462	2.3	1177300	1177300	1				85	179	True	184	254	406	406			-1
SO_0343	SO_0343	1	1	1	SO_0343	1	1	1	1	1	1	1	1	1	1	94.595	867	867	0	7.0951	1	1834500	1834500	3				86	190	True	197	283;284	511;512;513	511			-1
SO_0344	SO_0344	4	4	4	SO_0344	1	4	4	4	4	4	4	7.5	7.5	7.5	41.431	375	375	0	29.523	7.5	77160000	77160000	15				87	158;452;580;652	True;True;True;True	162;476;477;607;685	226;758;759;760;761;762;953;1070;1071	358;1409;1410;1411;1412;1413;1414;1415;1755;1756;1998;1999;2000;2001;2002	358;1415;1756;1999	8	257	-1
SO_0358	SO_0358	1	1	1	SO_0358	1	1	1	1	1	1	1	10.2	10.2	10.2	13.709	127	127	0	7.8528	10.2	434730	434730	1				88	756	True	792	1220	2226	2226			-1
SO_0359	SO_0359	2	2	2	SO_0359	1	2	2	2	2	2	2	2.4	2.4	2.4	78.785	701	701	0	14.092	2.4	1387700	1387700	3				89	340;426	True;True	356;446	521;522;712	996;997;1341	997;1341			-1
SO_0361	SO_0361	1	1	1	SO_0361	1	1	1	1	1	1	1	10.1	10.1	10.1	22.992	207	207	0	9.4675	10.1	381870	381870	2				90	96	True	99	131	222;223	222			-1
SO_0404	SO_0404	2	2	2	SO_0404	1	2	2	2	2	2	2	2.1	2.1	2.1	128.78	1152	1152	0	14.24	2.1	2403600	2403600	4				91	246;294	True;True	255;309	355;356;430	636;637;638;785	636;785			-1
SO_0406	SO_0406	2	2	2	SO_0406	1	2	2	2	2	2	2	19.4	19.4	19.4	11.889	108	108	0	18.661	19.4	1350200	1350200	2				92	279;763	True;True	290;800	406;1231	734;2244	734;2244			-1
SO_0409	SO_0409	1	1	1	SO_0409	1	1	1	1	1	1	1	6.7	6.7	6.7	19.903	178	178	0	11.564	6.7	37004000	37004000	6				93	1012	True	1057	1613;1614	3044;3045;3046;3047;3048;3049	3048			-1
SO_0413	SO_0413	1	1	1	SO_0413	1	1	1	1	1	1	1	5.9	5.9	5.9	22.923	205	205	0	6.3231	5.9	0	0	1				94	971	True	1015	1554	2937	2937			-1
